Geno.id	T1
WD0140	10.73
WD0143	12.16
WD0144	9.63
WD0145	11.69
WD0147	12.62
WD0150	10.9
WD0151	10.16
WD0152	12.51
WD0153	12.91
WD0154	11.28
WD0155	13.69
WD0156	10.81
WD0158	11.63
WD0159	12.9
WD0160	11.98
WD0161	10.38
WD0163	12.19
WD0164	11.3
WD0169	11.41
WD0170	11.19
WD0173	12.27
WD0174	11.62
WD0175	10.07
WD0176	10.72
WD0179	9.14
WD0180	11.98
WD0182	8.22
WD0183	10.9
WD0184	9.07
WD0185	11.65
WD0187	12.31
WD0188	11.41
WD0189	13.15
WD0190	14.98
WD0191	12.85
WD0192	10.07
WD0193	11.82
WD0194	13.14
WD0195	10.9
WD0196	12.29
WD0197	12.47
WD0198	9.5
WD0200	10.9
WD0201	13.83
WD0203	9.34
WD0204	12.03
WD0205	11.26
WD0206	10.51
WD0208	11.49
WD0209	12.95
WD0210	11.1
WD0211	13.36
WD0212	7.62
WD0213	8.98
WD0214	8.95
WD0215	14.28
WD0216	9.11
WD0217	10.01
WD0218	10.42
WD0219	11.51
WD0220	13.38
WD0222	8.44
WD0223	8.85
WD0224	11.53
WD0225	11.6
WD0226	11.37
WD0227	8.59
WD0228	11.35
WD0229	13.88
WD0230	12.52
WD0236	10.61
WD0237	11.93
WD0238	10.24
WD0239	11.08
WD0240	12.7
WD0241	12.25
WD0242	10.21
WD0243	8.18
WD0244	9.37
WD0245	8.63
WD0246	7.87
WD0247	10.99
WD0248	7.62
WD0249	9.02
WD0250	15.51
WD0251	10.72
WD0252	9.82
WD0253	9.1
WD0255	8.02
WD0256	12.67
WD0257	12.42
WD0259	11.5
WD0260	7.58
WD0263	11.59
WD0264	12.59
WD0265	9.11
WD0267	10.17
WD0269	10.57
WD0271	10.07
WD0273	10.42
WD0274	9.04
WD0275	10.62
WD0276	8.58
WD0277	10.34
WD0278	10.69
WD0279	9.9
WD0281	11.3
WD0282	7.03
WD0283	7.97
WD0284	11.33
WD0285	9.96
WD0286	9.18
WD0287	9.2
WD0288	11.56
WD0289	11.26
WD0290	9.57
WD0291	8.02
WD0292	6.92
WD0293	11.54
WD0294	12.63
WD0295	7.62
WD0297	9.85
WD0298	9.34
WD0299	9.81
WD0300	9.96
WD0301	10.62
WD0303	12.12
WD0304	9.75
WD0305	11.82
WD0306	9.93
WD0307	11.42
WD0309	12.62
WD0310	11.73
WD0311	11.11
WD0312	12.06
WD0313	10.26
WD0314	9.84
WD0315	8.53
WD0316	10.36
WD0317	13.83
WD0318	10.7
WD0319	12.37
WD0320	7.48
WD0322	9.69
WD0324	9.93
WD0325	9.28
WD0327	6.32
WD0328	10.28
WD0329	9.69
WD0331	7.48
WD0332	11.9
WD0333	10.2
WD0334	11.24
WD0335	10.9
WD0336	10.9
WD0337	9.19
WD0338	7.96
WD0339	9.65
WD0340	9.69
WD0341	7.58
WD0342	10.05
WD0343	9.1
WD0344	9.97
WD0345	11.23
WD0346	8.96
WD0347	12.23
WD0348	7.84
WD0349	10.01
WD0350	9.32
WD0351	8.62
WD0352	12.51
WD0353	9.87
WD0355	11.28
WD0357	10.24
WD0358	8.82
WD0359	9.75
WD0360	9.01
WD0361	10.28
WD0362	10.26
WD0363	10.5
WD0364	13.12
WD0365	10.55
WD0366	9.63
WD0367	9.64
WD0368	9.87
WD0371	11.98
WD0372	9.33
WD0373	10.9
WD0374	9.01
WD0375	9.78
WD0376	10.41
WD0377	10.08
WD0378	11.09
WD0379	9.33
WD0380	9.01
WD0381	9.96
WD0384	8.93
WD0386	11.11
WD0387	13.52
WD0388	11.41
WD0390	11.23
WD0395	12.32
WD0396	9.55
WD0397	10.6
WD0398	11.39
WD0400	11.38
WD0401	8.45
WD0403	9.96
WD0404	11.08
WD0405	10.07
WD0406	11.17
WD0407	11.09
WD0408	12.5
WD0409	11
WD0410	8.7
WD0411	10.02
WD0412	9.04
WD0413	10.9
WD0414	11.85
WD0415	10.99
WD0416	8.9
WD0417	9.98
WD0418	8.74
WD0419	10.23
WD0420	9.01
WD0422	10.06
WD0423	11.27
WD0424	13.88
WD0425	9.97
WD0426	23
WD0427	11.11
WD0428	13.32
WD0429	11.77
WD0431	11.62
WD0433	9.17
WD0434	33
WD0435	11.55
WD0436	11.65
WD0437	12.22
WD0438	11.18
WD0439	11.33
WD0440	12.43
WD0441	11.79
WD0442	15.18
WD0443	11.96
WD0444	10.71
WD0445	10.9
WD0446	12.23
WD0447	12.39
WD0448	13.42
WD0449	11.33
WD0451	13.85
WD0452	11.24
WD0455	11.62
WD0456	10.17
WD0457	11.08
WD0459	13.65
WD0460	10.62
WD0461	10.6
WD0462	10.49
WD0463	13.05
WD0465	11.59
WD0466	11.55
WD0467	11.08
WD0468	9.61
WD0469	9.07
WD0470	11.09
WD0471	10.31
WD0472	12.79
WD0473	10.18
WD0474	10.16
WD0477	8.77
WD0478	10.63
WD0479	10.41
WD0480	12.07
WD0481	8.72
WD0482	12.16
WD0483	8.59
WD0484	7.16
WD0485	10.46
WD0486	8.43
WD0487	12.03
WD0488	7.17
WD0490	10.46
WD0492	10.62
WD0493	10.51
WD0494	11.95
WD0495	11.15
WD0496	12.06
WD0497	11.69
WD0498	7.97
WD0499	9.34
WD0500	12.5
WD0501	12.06
WD0503	9.98
WD0504	11.18
WD0505	9.98
WD0506	10.17
WD0508	13.52
WD0509	12.63
WD0510	11.37
WD0511	13.91
WD0513	11.1
WD0514	13.42
WD0518	14.07
WD0519	12.1
WD0520	14.08
WD0522	13.67
WD0523	14.69
WD0524	11.48
WD0526	11.19
WD0527	9.78
WD0528	9.46
WD0529	10
WD0530	10.12
WD0531	9.72
WD0532	12.12
WD0536	10.49
WD0540	12.02
WD0541	11.32
WD0542	10.81
WD0544	12.33
WD0545	12.95
WD0547	10.73
WD0548	9.47
WD0550	11.31
WD0551	10.9
WD0552	10.73
WD0553	12.5
WD0567	13.74
WD0568	11.87
WD0569	10.42
WD0570	11.69
WD0572	16.56
WD0573	10.17
WD0574	12.35
WD0575	11.19
WD0576	32
WD0577	11.3
WD0578	14.13
WD0579	10.4
WD0581	13.77
WD0582	11.7
WD0583	12.56
WD0584	12.56
WD0585	8.47
WD0586	9.34
WD0588	7.99
WD0589	14.42
WD0590	11.74
WD0591	11.72
WD0592	12.6
WD0593	12.7
WD0595	13.87
WD0596	13.6
WD0597	12.98
WD0613	14.57
WD0614	11.35
WD0615	10.64
WD0616	13.83
WD0617	11.16
WD0618	15.17
WD0619	10.2
WD0620	33
WD0621	12.49
WD0623	11.58
WD0624	12.13
WD0625	12.79
WD0626	13.4
WD0627	16.46
WD0628	12.13
WD0630	11.35
WD0631	14.16
WD0632	12.6
WD0633	10.98
WD0634	11.56
WD0635	12.68
WD0636	12.5
WD0637	10.59
WD0638	15.51
WD0639	13.94
WD0641	13.41
WD0642	9.53
WD0643	11.9
WD0644	10.46
WD0645	10.01
WD0647	11.37
WD0648	10.38
WD0649	11.25
WD0650	11.88
WD0651	12.6
WD0652	12.17
WD0654	12.49
WD0655	10.06
WD0658	11.35
WD0659	13.77
WD0660	9.84
WD0661	11.69
WD0662	11.86
WD0663	33
WD0664	10.98
WD0665	9.95
WD0666	12.27
WD0667	12.13
WD0668	10.94
WD0669	10.83
WD0670	11.78
WD0671	13.68
WD0672	10.64
WD0673	12.64
WD0674	12.29
WD0675	11.53
WD0676	12.91
WD0677	9.8
WD0678	13.41
WD0679	13.5
WD0680	13.18
WD0681	15.09
WD0682	11.28
WD0683	13.31
WD0685	16.6
WD0686	12.26
WD0688	11.32
WD0689	17.39
WD0690	12.89
WD0691	13.3
WD0692	11.78
WD0693	9.23
WD0694	13.17
WD0695	8.16
WD0697	9.65
WD0698	9.32
WD0699	10.85
WD0700	9.36
WD0702	8.39
WD0703	7.53
WD0704	11.56
WD0705	12.18
WD0706	9.78
WD0708	11.48
WD0710	11.2
WD0711	7.86
WD0712	10.1
WD0713	13.67
WD0714	10.7
WD0716	9.27
WD0717	10.14
WD0718	10.7
WD0719	12.44
WD0720	8.51
WD0721	8.83
WD0722	8.77
WD0724	10.66
WD0725	33
WD0726	7.85
WD0727	21
WD0728	10.35
WD0729	12.26
WD0730	11.9
WD0731	11.19
WD0732	9.33
WD0733	9.03
WD0734	11.05
WD0736	9.67
WD0738	11.55
